# freq 	 sqrt(Sn)
7.907448e+00	1.555441e-24
7.925683e+00	1.537918e-24
7.943960e+00	1.520812e-24
7.962278e+00	1.504112e-24
7.980639e+00	1.487805e-24
7.999043e+00	1.471881e-24
8.017489e+00	1.456327e-24
8.035977e+00	1.441134e-24
8.054508e+00	1.426291e-24
8.073082e+00	1.411787e-24
8.091698e+00	1.397612e-24
8.110358e+00	1.383756e-24
8.129061e+00	1.370210e-24
8.147806e+00	1.356965e-24
8.166595e+00	1.344011e-24
8.185427e+00	1.331339e-24
8.204303e+00	1.318942e-24
8.223222e+00	1.306810e-24
8.242185e+00	1.294935e-24
8.261192e+00	1.283310e-24
8.280242e+00	1.271926e-24
8.299336e+00	1.260776e-24
8.318475e+00	1.249854e-24
8.337657e+00	1.239151e-24
8.356884e+00	1.228661e-24
8.376155e+00	1.218377e-24
8.395470e+00	1.208292e-24
8.414830e+00	1.198401e-24
8.434235e+00	1.188697e-24
8.453684e+00	1.179174e-24
8.473179e+00	1.169827e-24
8.492718e+00	1.160649e-24
8.512302e+00	1.151636e-24
8.531932e+00	1.142782e-24
8.551606e+00	1.134081e-24
8.571326e+00	1.125530e-24
8.591092e+00	1.117122e-24
8.610903e+00	1.108854e-24
8.630760e+00	1.100720e-24
8.650662e+00	1.092717e-24
8.670611e+00	1.084840e-24
8.690605e+00	1.077085e-24
8.710646e+00	1.069448e-24
8.730733e+00	1.061926e-24
8.750866e+00	1.054513e-24
8.771045e+00	1.047208e-24
8.791272e+00	1.040005e-24
8.811544e+00	1.032902e-24
8.831864e+00	1.025897e-24
8.852230e+00	1.018984e-24
8.872644e+00	1.012161e-24
8.893104e+00	1.005426e-24
8.913611e+00	9.987755e-25
8.934166e+00	9.922064e-25
8.954769e+00	9.857163e-25
8.975418e+00	9.793025e-25
8.996116e+00	9.729626e-25
9.016861e+00	9.666941e-25
9.037654e+00	9.604946e-25
9.058495e+00	9.543620e-25
9.079384e+00	9.482940e-25
9.100321e+00	9.422886e-25
9.121306e+00	9.363437e-25
9.142340e+00	9.304573e-25
9.163422e+00	9.246276e-25
9.184553e+00	9.188527e-25
9.205733e+00	9.131310e-25
9.226961e+00	9.074607e-25
9.248239e+00	9.018402e-25
9.269565e+00	8.962679e-25
